street id;street name;period;count
933471;On or near Supermarket;from 2019-01 till 2019-05;80
971694;On or near Lawrence Buildings;from 2019-01 till 2019-05;80
956636;On or near Berners Place;from 2019-01 till 2019-05;80
966387;On or near Bus/coach Station;from 2019-01 till 2019-05;80
971001;On or near Shopping Area;from 2019-01 till 2019-05;80
978389;On or near Shopping Area;from 2019-01 till 2019-05;80
960761;On or near Supermarket;from 2019-01 till 2019-05;80
967328;On or near Neasden Lane;from 2019-01 till 2019-05;80
968794;On or near Mare Street;from 2019-01 till 2019-05;80
956580;On or near Nightclub;from 2019-01 till 2019-05;80
953622;On or near St Thomas Street;from 2019-01 till 2019-05;80
956473;On or near Phoenix Street;from 2019-01 till 2019-05;80
956115;On or near Rochester Walk;from 2019-01 till 2019-05;80
965140;On or near Nightclub;from 2019-01 till 2019-05;79
957962;On or near Shopping Area;from 2019-01 till 2019-05;79
957139;On or near Dunworth Mews;from 2019-01 till 2019-05;79
964672;On or near Parking Area;from 2019-01 till 2019-05;79
956503;On or near Greek Street;from 2019-01 till 2019-05;79
958708;On or near Supermarket;from 2019-01 till 2019-05;79
1490269;Vauxhall (station);from 2019-01 till 2019-05;79
956309;On or near Winsley Street;from 2019-01 till 2019-05;79
957960;On or near Supermarket;from 2019-01 till 2019-05;79
960113;On or near Supermarket;from 2019-01 till 2019-05;79
789925;On or near Theatre/concert Hall;from 2019-01 till 2019-05;79
789357;On or near Shopping Area;from 2019-01 till 2019-05;78
945809;On or near Petrol Station;from 2019-01 till 2019-05;78
948712;On or near Greenwich Church Street;from 2019-01 till 2019-05;78
923580;On or near Euston Road;from 2019-01 till 2019-05;78
924967;On or near Supermarket;from 2019-01 till 2019-05;78
977044;On or near Petrol Station;from 2019-01 till 2019-05;78
963250;On or near Police Station;from 2019-01 till 2019-05;78
966394;On or near Shopping Area;from 2019-01 till 2019-05;78
956481;On or near Newport Place;from 2019-01 till 2019-05;78
956610;On or near Tottenham Court Road;from 2019-01 till 2019-05;78
956451;On or near St Martin's Lane;from 2019-01 till 2019-05;78
970994;On or near Cranbrook Road;from 2019-01 till 2019-05;78
953486;On or near Pear Place;from 2019-01 till 2019-05;78
960635;On or near Pedestrian Subway;from 2019-01 till 2019-05;78
972770;On or near Supermarket;from 2019-01 till 2019-05;77
967389;On or near Supermarket;from 2019-01 till 2019-05;77
956712;On or near Shaftesbury Avenue;from 2019-01 till 2019-05;77
1488666;Westminster (lu Station);from 2019-01 till 2019-05;77
961680;On or near Supermarket;from 2019-01 till 2019-05;77
1488585;Earls Court (lu Station);from 2019-01 till 2019-05;77
790155;On or near Supermarket;from 2019-01 till 2019-05;77
927203;On or near High Street;from 2019-01 till 2019-05;77
679573;On or near Shopping Area;from 2019-01 till 2019-05;76
950398;On or near Beadon Road;from 2019-01 till 2019-05;76
972758;On or near Further/higher Educational Building;from 2019-01 till 2019-05;76
968291;On or near Supermarket;from 2019-01 till 2019-05;76
962970;On or near Baden Powell Close;from 2019-01 till 2019-05;76
976464;On or near Nightclub;from 2019-01 till 2019-05;76
975083;On or near Williamson Road;from 2019-01 till 2019-05;76
953340;On or near Victoria Street;from 2019-01 till 2019-05;76
961130;On or near Worship Street;from 2019-01 till 2019-05;76
968595;On or near Supermarket;from 2019-01 till 2019-05;76
956718;On or near Pedestrian Subway;from 2019-01 till 2019-05;76
955185;On or near Newland Street;from 2019-01 till 2019-05;76
983667;On or near Fore Street;from 2019-01 till 2019-05;75
964784;On or near Upper Street;from 2019-01 till 2019-05;75
977991;On or near Theatre/concert Hall;from 2019-01 till 2019-05;75
972136;On or near Hospital;from 2019-01 till 2019-05;75
964812;On or near Supermarket;from 2019-01 till 2019-05;75
971017;On or near Janice Mews;from 2019-01 till 2019-05;75
970572;On or near Supermarket;from 2019-01 till 2019-05;75
967019;On or near Shopping Area;from 2019-01 till 2019-05;75
942731;On or near Bedford Road;from 2019-01 till 2019-05;75
949339;On or near King And Queen Street;from 2019-01 till 2019-05;75
789879;On or near Parking Area;from 2019-01 till 2019-05;74
937749;On or near Further/higher Educational Building;from 2019-01 till 2019-05;74
953358;On or near Shopping Area;from 2019-01 till 2019-05;74
955568;On or near Wilson's Place;from 2019-01 till 2019-05;74
978472;On or near Parking Area;from 2019-01 till 2019-05;74
956312;On or near Swallow Place;from 2019-01 till 2019-05;74
968325;On or near Nightclub;from 2019-01 till 2019-05;74
975419;On or near Petrol Station;from 2019-01 till 2019-05;74
1488546;Brixton (lu Station);from 2019-01 till 2019-05;74
962194;On or near Supermarket;from 2019-01 till 2019-05;73
961673;On or near Bancroft Road;from 2019-01 till 2019-05;73
967166;On or near Rosemead Avenue;from 2019-01 till 2019-05;73
954599;On or near Further/higher Educational Building;from 2019-01 till 2019-05;73
945941;On or near Levehurst Way;from 2019-01 till 2019-05;73
930966;On or near Petrol Station;from 2019-01 till 2019-05;72
941879;On or near Lewisham High Street;from 2019-01 till 2019-05;72
946227;On or near Rye Lane;from 2019-01 till 2019-05;72
964886;On or near Camden High Street;from 2019-01 till 2019-05;72
964912;On or near Parkway;from 2019-01 till 2019-05;72
976471;On or near Hospital;from 2019-01 till 2019-05;72
953483;On or near Sandell Street;from 2019-01 till 2019-05;72
960700;On or near Hospital;from 2019-01 till 2019-05;72
960762;On or near Shopping Area;from 2019-01 till 2019-05;72
956961;On or near Queensway;from 2019-01 till 2019-05;72
956519;On or near Duncannon Street;from 2019-01 till 2019-05;72
969517;On or near St Luke's Avenue;from 2019-01 till 2019-05;72
965623;On or near Hersant Close;from 2019-01 till 2019-05;71
972106;On or near Petrol Station;from 2019-01 till 2019-05;71
952709;On or near Supermarket;from 2019-01 till 2019-05;71
956183;On or near Floral Street;from 2019-01 till 2019-05;71
968578;On or near Kingsland High Street;from 2019-01 till 2019-05;71
965405;On or near Shopping Area;from 2019-01 till 2019-05;71
974982;On or near Petrol Station;from 2019-01 till 2019-05;71
983668;On or near Fore Street;from 2019-01 till 2019-05;71
943877;On or near Supermarket;from 2019-01 till 2019-05;71
947219;On or near Supermarket;from 2019-01 till 2019-05;71
937520;On or near Supermarket;from 2019-01 till 2019-05;71
941049;On or near Parking Area;from 2019-01 till 2019-05;71
941277;On or near Supermarket;from 2019-01 till 2019-05;71
944041;On or near Parking Area;from 2019-01 till 2019-05;70
953923;On or near Three Oak Lane;from 2019-01 till 2019-05;70
956751;On or near Marble Arch;from 2019-01 till 2019-05;70
960541;On or near Mabledon Place;from 2019-01 till 2019-05;70
956694;On or near Nightclub;from 2019-01 till 2019-05;70
954836;On or near Station Road North;from 2019-01 till 2019-05;70
960903;On or near Pedestrian Subway;from 2019-01 till 2019-05;70
956573;On or near Nightclub;from 2019-01 till 2019-05;70
977778;On or near Bromley Road;from 2019-01 till 2019-05;70
956802;On or near Supermarket;from 2019-01 till 2019-05;70
953429;On or near Great George Street;from 2019-01 till 2019-05;69
956550;On or near Theatre/concert Hall;from 2019-01 till 2019-05;69
960388;On or near Siddons Lane;from 2019-01 till 2019-05;69
963262;On or near Petrol Station;from 2019-01 till 2019-05;69
959784;On or near Supermarket;from 2019-01 till 2019-05;69
966385;On or near Baker's Road;from 2019-01 till 2019-05;69
954059;On or near Quebec Way;from 2019-01 till 2019-05;69
